date,close
2025-08-15,785.23
2025-08-14,782.13
2025-08-13,780.08
2025-08-12,790.0
2025-08-11,765.87
2025-08-08,769.3
2025-08-07,761.83
2025-08-06,771.99
2025-08-05,763.46
2025-08-04,776.37
2025-08-01,750.01
2025-07-31,773.44
2025-07-30,695.21
2025-07-29,700.0
2025-07-28,717.63
2025-07-25,712.68
2025-07-24,714.8
2025-07-23,713.58
2025-07-22,704.81
2025-07-21,712.965
2025-07-18,704.28
2025-07-17,701.41
2025-07-16,702.91
2025-07-15,710.39
2025-07-14,720.92
2025-07-11,717.51
2025-07-10,727.24
2025-07-09,732.78
2025-07-08,720.67
2025-07-07,718.35
2025-07-03,719.01
2025-07-02,713.57
2025-07-01,719.22
2025-06-30,738.09
2025-06-27,733.63
2025-06-26,726.09
2025-06-25,708.68
2025-06-24,712.2
2025-06-23,698.53
2025-06-20,682.35
2025-06-18,695.77
2025-06-17,697.23
2025-06-16,702.12
2025-06-13,682.87
2025-06-12,693.36
2025-06-11,694.14
2025-06-10,702.4
2025-06-09,694.06
2025-06-06,697.71
2025-06-05,684.62
2025-06-04,687.95
2025-06-03,666.85
2025-06-02,670.9
2025-05-30,647.49
2025-05-29,645.05
2025-05-28,643.58
2025-05-27,642.32
2025-05-23,627.06
2025-05-22,636.57
2025-05-21,635.5
2025-05-20,637.1
2025-05-19,640.43
2025-05-16,640.34
2025-05-15,643.88
2025-05-14,659.36
2025-05-13,656.03
2025-05-12,639.43
2025-05-09,592.49
2025-05-08,598.01
2025-05-07,596.81
2025-05-06,587.31
2025-05-05,599.27
2025-05-02,597.02
2025-05-01,572.21
2025-04-30,549.0
2025-04-29,554.44
2025-04-28,549.74
2025-04-25,547.27
2025-04-24,533.15
2025-04-23,520.27
2025-04-22,500.28
2025-04-21,484.66
2025-04-17,501.48
2025-04-16,502.31
2025-04-15,521.52
2025-04-14,531.48
2025-04-11,543.57
2025-04-10,546.29
2025-04-09,585.77
2025-04-08,510.45
2025-04-07,516.25
2025-04-04,504.73
2025-04-03,531.62
2025-04-02,583.93
2025-04-01,586.0
2025-03-31,576.36
2025-03-28,576.74
2025-03-27,602.58
2025-03-26,610.98
2025-03-25,626.31
